AVG	SEARCHED
11.25	_EPS_0.016_Samp_127
11.25	_EPS_0.016_Samp_129
11.25	_EPS_0.016_Samp_131
11.25	_EPS_0.016_Samp_133
11.0	_EPS_0.016_Samp_135
10.75	_EPS_0.016_Samp_137
10.75	_EPS_0.016_Samp_139
10.75	_EPS_0.016_Samp_141
10.75	_EPS_0.016_Samp_143
10.75	_EPS_0.016_Samp_145
10.75	_EPS_0.016_Samp_147
10.5	_EPS_0.016_Samp_149
10.25	_EPS_0.016_Samp_151
10.0	_EPS_0.016_Samp_153
9.75	_EPS_0.016_Samp_155
9.75	_EPS_0.016_Samp_157
9.25	_EPS_0.016_Samp_159
9.25	_EPS_0.016_Samp_161
39.125	_EPS_0.018_Samp_3
28.208333333333332	_EPS_0.018_Samp_5
24.083333333333332	_EPS_0.018_Samp_7
20.875	_EPS_0.018_Samp_9
18.333333333333332	_EPS_0.018_Samp_11
16.875	_EPS_0.018_Samp_13
15.208333333333334	_EPS_0.018_Samp_15
38.5	_EPS_0.018_Samp_17
34.5	_EPS_0.018_Samp_19
31.5	_EPS_0.018_Samp_21
29.75	_EPS_0.018_Samp_23
28.75	_EPS_0.018_Samp_25
27.25	_EPS_0.018_Samp_27
26.5	_EPS_0.018_Samp_29
25.0	_EPS_0.018_Samp_31
23.25	_EPS_0.018_Samp_33
23.0	_EPS_0.018_Samp_35
21.75	_EPS_0.018_Samp_37
20.5	_EPS_0.018_Samp_39
19.5	_EPS_0.018_Samp_41
18.0	_EPS_0.018_Samp_43
17.5	_EPS_0.018_Samp_45
17.25	_EPS_0.018_Samp_47
17.0	_EPS_0.018_Samp_49
16.75	_EPS_0.018_Samp_51
15.75	_EPS_0.018_Samp_53
15.25	_EPS_0.018_Samp_55
14.75	_EPS_0.018_Samp_57
14.5	_EPS_0.018_Samp_59
14.5	_EPS_0.018_Samp_61
14.5	_EPS_0.018_Samp_63
14.5	_EPS_0.018_Samp_65
14.5	_EPS_0.018_Samp_67
14.5	_EPS_0.018_Samp_69
14.0	_EPS_0.018_Samp_71
14.0	_EPS_0.018_Samp_73
14.0	_EPS_0.018_Samp_75
14.0	_EPS_0.018_Samp_77
13.75	_EPS_0.018_Samp_79
13.75	_EPS_0.018_Samp_81
13.5	_EPS_0.018_Samp_83
13.5	_EPS_0.018_Samp_85
13.0	_EPS_0.018_Samp_87
13.0	_EPS_0.018_Samp_89
13.0	_EPS_0.018_Samp_91
12.5	_EPS_0.018_Samp_93
12.25	_EPS_0.018_Samp_95
12.25	_EPS_0.018_Samp_97
12.0	_EPS_0.018_Samp_99
11.75	_EPS_0.018_Samp_101
11.5	_EPS_0.018_Samp_103
11.5	_EPS_0.018_Samp_105
11.5	_EPS_0.018_Samp_107
11.5	_EPS_0.018_Samp_109
11.5	_EPS_0.018_Samp_111
11.5	_EPS_0.018_Samp_113
11.25	_EPS_0.018_Samp_115
11.25	_EPS_0.018_Samp_117
11.25	_EPS_0.018_Samp_119
11.0	_EPS_0.018_Samp_121
11.0	_EPS_0.018_Samp_123
11.0	_EPS_0.018_Samp_125
11.0	_EPS_0.018_Samp_127
10.75	_EPS_0.018_Samp_129
10.75	_EPS_0.018_Samp_131
11.0	_EPS_0.018_Samp_133
11.0	_EPS_0.018_Samp_135
10.75	_EPS_0.018_Samp_137
10.75	_EPS_0.018_Samp_139
10.75	_EPS_0.018_Samp_141
10.75	_EPS_0.018_Samp_143
10.75	_EPS_0.018_Samp_145
10.75	_EPS_0.018_Samp_147
10.5	_EPS_0.018_Samp_149
10.25	_EPS_0.018_Samp_151
10.0	_EPS_0.018_Samp_153
9.75	_EPS_0.018_Samp_155
9.5	_EPS_0.018_Samp_157
9.5	_EPS_0.018_Samp_159
9.25	_EPS_0.018_Samp_161
38.041666666666664	_EPS_0.02_Samp_3
26.708333333333332	_EPS_0.02_Samp_5
23.041666666666668	_EPS_0.02_Samp_7
20.375	_EPS_0.02_Samp_9
